mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.03708624839782715,0.0,205.03981709480286,0.0,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.9690591040010597,0.9690591040010597,0.0,9,0.9676256743880124,0.9676256743880124,0.0,9,0.9680543052161671,0.9680543052161671,0.0,9
0.0332791805267334,0.0,206.43248462677002,0.0,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.9703457058364913,0.9703457058364913,0.0,7,0.9690729041130238,0.9690729041130238,0.0,7,0.969487249581104,0.969487249581104,0.0,7
0.02686142921447754,0.0,17.61797046661377,0.0,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.9751020880978845,0.9751020880978845,0.0,3,0.9742271371761337,0.9742271371761337,0.0,3,0.9745375828431181,0.9745375828431181,0.0,3
0.030196666717529297,0.0,17.952629327774048,0.0,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.9755410894259586,0.9755410894259586,0.0,1,0.9747660603226125,0.9747660603226125,0.0,1,0.9750413420715885,0.9750413420715885,0.0,1
0.02010202407836914,0.0,187.99477434158325,0.0,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.9688986040056973,0.9688986040056973,0.0,10,0.9673143955186225,0.9673143955186225,0.0,10,0.9678028020846444,0.9678028020846444,0.0,10
0.019537687301635742,0.0,188.21848797798157,0.0,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.9699165433992747,0.9699165433992747,0.0,8,0.9684223494672135,0.9684223494672135,0.0,8,0.9689035391304712,0.9689035391304712,0.0,8
0.019541263580322266,0.0,18.281469583511353,0.0,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.9746531973996484,0.9746531973996484,0.0,4,0.9737699887239541,0.9737699887239541,0.0,4,0.9740901957543979,0.9740901957543979,0.0,4
0.04116988182067871,0.0,19.330344915390015,0.0,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.9751259844476721,0.9751259844476721,0.0,2,0.9743154369080654,0.9743154369080654,0.0,2,0.9746065877760628,0.9746065877760628,0.0,2
0.05285024642944336,0.0,190.4401834011078,0.0,7,1,uniform,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.9661006233718533,0.9661006233718533,0.0,12,0.9641889223292184,0.9641889223292184,0.0,12,0.9647327397203579,0.9647327397203579,0.0,12
0.039861202239990234,0.0,187.60341620445251,0.0,7,1,distance,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.9677602466279666,0.9677602466279666,0.0,11,0.9660164120661824,0.9660164120661824,0.0,11,0.9665352601082917,0.9665352601082917,0.0,11
0.02078557014465332,0.0,17.890570402145386,0.0,7,2,uniform,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.9739279852148902,0.9739279852148902,0.0,6,0.9729306563620176,0.9729306563620176,0.0,6,0.9732934004952449,0.9732934004952449,0.0,6
0.020333051681518555,0.0,17.795422554016113,0.0,7,2,distance,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.9745690463664529,0.9745690463664529,0.0,5,0.9736295805108066,0.9736295805108066,0.0,5,0.9739683168237523,0.9739683168237523,0.0,5
