mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_depth,param_max_iter,params,split0_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
1035.1611330509186,0.0,15.792754411697388,0.0,0.0,0.05,,150,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_depth': None, 'max_iter': 150}",0.9750657002902182,0.9750657002902182,0.0,13,0.9751162381886749,0.9751162381886749,0.0,13,0.9750840131853344,0.9750840131853344,0.0,13
2104.73690032959,0.0,33.42807126045227,0.0,0.0,0.05,,300,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_depth': None, 'max_iter': 300}",0.9795340065402989,0.9795340065402989,0.0,6,0.9795244875257701,0.9795244875257701,0.0,6,0.979517766400744,0.979517766400744,0.0,6
977.2134034633636,0.0,13.512837409973145,0.0,0.0,0.05,8,150,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_depth': 8, 'max_iter': 150}",0.9750013199143354,0.9750013199143354,0.0,14,0.9750169141262482,0.9750169141262482,0.0,14,0.9749929506414116,0.9749929506414116,0.0,14
1938.869556427002,0.0,29.63915705680847,0.0,0.0,0.05,8,300,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_depth': 8, 'max_iter': 300}",0.9790034114679462,0.9790034114679462,0.0,9,0.9789195459913772,0.9789195459913772,0.0,9,0.9789458316415155,0.9789458316415155,0.0,9
1064.2191536426544,0.0,14.489108800888062,0.0,0.0,0.1,,150,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_depth': None, 'max_iter': 150}",0.9792967354572077,0.9792967354572077,0.0,7,0.979270522612324,0.979270522612324,0.0,7,0.9792726391681086,0.9792726391681086,0.0,7
1981.780577659607,0.0,35.4279625415802,0.0,0.0,0.1,,300,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_depth': None, 'max_iter': 300}",0.9818726159896611,0.9818726159896611,0.0,2,0.9817368211977213,0.9817368211977213,0.0,2,0.9817892929305219,0.9817892929305219,0.0,2
977.4555556774139,0.0,13.85561227798462,0.0,0.0,0.1,8,150,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_depth': 8, 'max_iter': 150}",0.9796481572503822,0.9796481572503822,0.0,5,0.9796166740851696,0.9796166740851696,0.0,5,0.9796197777953388,0.9796197777953388,0.0,5
1862.524301290512,0.0,28.089818000793457,0.0,0.0,0.1,8,300,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_depth': 8, 'max_iter': 300}",0.9820040139239629,0.9820040139239629,0.0,1,0.9819309637304208,0.9819309637304208,0.0,1,0.9819575195427056,0.9819575195427056,0.0,1
1062.2939457893372,0.0,13.71199893951416,0.0,1.0,0.05,,150,"{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': None, 'max_iter': 150}",0.9745678560181668,0.9745678560181668,0.0,15,0.9745457068519416,0.9745457068519416,0.0,15,0.9745518545811025,0.9745518545811025,0.0,15
2115.872871398926,0.0,28.26099157333374,0.0,1.0,0.05,,300,"{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': None, 'max_iter': 300}",0.9783417102406338,0.9783417102406338,0.0,12,0.9783205898762551,0.9783205898762551,0.0,12,0.9783224903137733,0.9783224903137733,0.0,12
994.9924030303955,0.0,13.552229404449463,0.0,1.0,0.05,8,150,"{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'max_iter': 150}",0.9733891358462585,0.9733891358462585,0.0,16,0.9733627712094004,0.9733627712094004,0.0,16,0.9733629218272355,0.9733629218272355,0.0,16
2023.157600402832,0.0,28.149769067764282,0.0,1.0,0.05,8,300,"{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'max_iter': 300}",0.9787096631018033,0.9787096631018033,0.0,10,0.9786835855095912,0.9786835855095912,0.0,10,0.9786841205857206,0.9786841205857206,0.0,10
1061.91224527359,0.0,13.836632013320923,0.0,1.0,0.1,,150,"{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': None, 'max_iter': 150}",0.9783942243175415,0.9783942243175415,0.0,11,0.978327552898563,0.978327552898563,0.0,11,0.9783486841287644,0.9783486841287644,0.0,11
2089.777596473694,0.0,27.447359561920166,0.0,1.0,0.1,,300,"{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': None, 'max_iter': 300}",0.9799037592400633,0.9799037592400633,0.0,4,0.9798600348792389,0.9798600348792389,0.0,4,0.979873520472801,0.979873520472801,0.0,4
1021.6847500801086,0.0,13.769803047180176,0.0,1.0,0.1,8,150,"{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'max_iter': 150}",0.9791427142227226,0.9791427142227226,0.0,8,0.9790516347451828,0.9790516347451828,0.0,8,0.9790842548608019,0.9790842548608019,0.0,8
1582.429895401001,0.0,22.136916160583496,0.0,1.0,0.1,8,300,"{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'max_iter': 300}",0.9802021488017971,0.9802021488017971,0.0,3,0.9801652840406148,0.9801652840406148,0.0,3,0.9801743373277876,0.9801743373277876,0.0,3
